List,Title,Description
"Architecture & Infra","Add storefront service to Docker Compose","Set up a new Next.js storefront service sharing env variables and the PostgreSQL network with Stockflow."
"Architecture & Infra","Share Prisma client/models between apps","Create a shared package or codegen step so both Stockflow and Storefront consume the same Prisma schema."
"Architecture & Infra","Configure routing for emarket.dcat.ci","Update reverse proxy (Nginx/Traefik) so emarket.dcat.ci points to the storefront container while stockflow.dcat.ci routes to the existing app."
"Database & Sync","Extend Prisma schema with storefront fields","Add fields like isPublished, promoPrice, promoStart/End, seoSlug, and CMS tables for banners/sections."
"Database & Sync","Expose catalog API for storefront","Build a filterable, promo-aware product endpoint consumable by the storefront."
"Database & Sync","Implement ISR revalidation hook","Whenever products change in Stockflow, call the storefront revalidation endpoint to refresh cached pages."
"Database & Sync","Auto-hide out-of-stock items job","Background worker or cron to unpublish products whose stock quantity drops to zero."
"Storefront Foundation","Global layout & theming","Implement shared layout (header/footer), responsive grid, and design tokens for brand consistency."
"Storefront Foundation","Home page sections","Build hero carousel, featured categories, flash sale strip, and product grid modules."
"Storefront Foundation","Catalog/search page","Implement filters (category, marque, modèle, price), sorting, and pagination/infinite scroll."
"Storefront Foundation","Product detail page","Gallery with thumbnails, price block (base vs promo), specs accordion, related items carousel."
"Storefront Foundation","Cart + quote checkout (phase 1)","Cart table with totals plus a quote-request form for customer contact info."
"Storefront Foundation","SEO metadata & analytics","Add OG/SEO tags, JSON-LD, and analytics events for product views and conversions."
"Pricing & Promotions","Promo management in Stockflow","UI to set promo price, schedule, and origin directly inside the back-office."
"Pricing & Promotions","Storefront promo editor","Marketing can create flash sales/promos from the storefront admin, syncing back to Stockflow."
"Pricing & Promotions","Display promo badges & countdowns","Show crossed-out base price, promo price, % reduction, and countdown timers on cards and PDP."
"Storefront Admin/CMS","Mini admin dashboard","Provide publish toggles, promo overview, and featured products controls for storefront operators."
"Storefront Admin/CMS","Hero/banner CMS","CRUD interface for homepage hero slides and featured modules."
"Storefront Admin/CMS","Reporting widgets","Display top products, promo performance, and low-stock alerts affecting storefront."
"Operations & Deployment","CI/CD pipeline for storefront","Extend pipelines to lint/test/storefront and push Docker images."
"Operations & Deployment","Monitoring & logging","Set up health checks, log aggregation, and alerting for the new service."
"Operations & Deployment","Deployment & rollback docs","Document dual-app deployment steps and rollback procedures."
